Date,Region,Category,Product,Sales_Revenue,Marketing_Spend,Customer_Count,Conversion_Rate,Customer_Satisfaction
2026-01-01,수도권,AI솔루션,AgentFlow Pro,45000000,8500000,120,4.2,4.8
2026-01-08,수도권,AI솔루션,AgentFlow Starter,28000000,5200000,95,3.8,4.5
2026-01-15,영남권,클라우드,DataLake Ops,32000000,6100000,78,3.5,4.6
2026-01-22,호남권,컨설팅,AX 바우처 컨설팅,18000000,3000000,45,5.1,4.9
2026-01-29,수도권,AI솔루션,AgentFlow Enterprise,85000000,15000000,35,6.2,4.9
2026-02-05,충청권,클라우드,Cloud Pipeline,24000000,4800000,62,3.1,4.3
2026-02-12,수도권,AI솔루션,AgentFlow Pro,52000000,9800000,142,4.5,4.7
2026-02-19,영남권,AI솔루션,AgentFlow Starter,31000000,5800000,105,3.9,4.4
2026-02-26,수도권,컨설팅,디지털전환 종합컨설팅,29000000,4500000,58,4.8,4.8
2026-03-05,호남권,클라우드,DataLake Ops,36000000,7000000,88,3.7,4.6
2026-03-12,수도권,AI솔루션,AgentFlow Enterprise,92000000,16500000,42,6.5,5.0
2026-03-19,충청권,AI솔루션,AgentFlow Pro,48000000,9100000,128,4.3,4.6
2026-03-26,영남권,컨설팅,AX 바우처 컨설팅,22000000,3500000,52,5.3,4.9
2026-04-02,수도권,AI솔루션,AgentFlow Enterprise,105000000,19000000,48,6.8,4.9
2026-04-09,수도권,클라우드,Cloud Pipeline,27000000,5100000,70,3.3,4.4
2026-04-16,호남권,AI솔루션,AgentFlow Starter,33000000,6000000,112,4.0,4.5
2026-04-23,영남권,AI솔루션,AgentFlow Pro,55000000,10200000,150,4.6,4.8
2026-04-30,수도권,컨설팅,디지털전환 종합컨설팅,34000000,5200000,65,5.0,4.9
2026-05-07,충청권,클라우드,DataLake Ops,38000000,7300000,92,3.8,4.7
2026-05-14,수도권,AI솔루션,AgentFlow Enterprise,118000000,21000000,55,7.1,5.0
